BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
012047,PRIVATE LABEL,DEBIT,,BANCO DE CREDITO ARGENTINO,,,AR,ARG,ARGENTINA
162582,PRIVATE LABEL,DEBIT,ATM,PROVENCRED,,,AR,ARG,ARGENTINA
163008,CABAL,CREDIT,STANDARD,BANCO DE LABOULAYE,,,AR,ARG,ARGENTINA
212819,PRIVATE LABEL,DEBIT,,C&A,,,AR,ARG,ARGENTINA
213810,PRIVATE LABEL,DEBIT,,C&A,,,AR,ARG,ARGENTINA
222842,MASTERCARD,CREDIT,STANDARD,BANCO CIUDAD DE BUENOS AIRES,,,AR,ARG,ARGENTINA
223046,MASTERCARD,DEBIT,PREPAID,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
223143,MASTERCARD,DEBIT,PREPAID,CREDENCIAL ARGENTINA SA,,,AR,ARG,ARGENTINA
223226,MASTERCARD,DEBIT,PREPAID,PRISMA MEDIOS DE PAGO SA,,,AR,ARG,ARGENTINA
223236,MASTERCARD,DEBIT,PREPAID,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
223269,MASTERCARD,DEBIT,PREPAID,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
223364,MASTERCARD,DEBIT,PREPAID,BANCO DE SERVICIOS FINANCIEROS SA,,,AR,ARG,ARGENTINA
223451,MASTERCARD,DEBIT,PREPAID,MERCADOLIBRE SRL,,,AR,ARG,ARGENTINA
223473,MASTERCARD,CREDIT,STANDARD,MERCADOLIBRE SRL,,,AR,ARG,ARGENTINA
230570,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
230688,MASTERCARD,DEBIT,PREPAID,"GLOBAL PROCESSING, S.A.",,,AR,ARG,ARGENTINA
230709,MASTERCARD,DEBIT,PREPAID,PREXCARD SAS,,,AR,ARG,ARGENTINA
230724,MASTERCARD,DEBIT,PREPAID,"WILOBANK, S.A.",,,AR,ARG,ARGENTINA
230753,MASTERCARD,CREDIT,STANDARD,BANCO DE LA PROVINCIA DE BUENOS AIRES,+541143470000,http://www.bapro.com.ar,AR,ARG,ARGENTINA
230824,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230839,MASTERCARD,CREDIT,STANDARD,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
230843,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230852,MASTERCARD,CREDIT,GOLD,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
230853,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230854,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230855,MASTERCARD,CREDIT,PLATINUM,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230857,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230858,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
230867,MASTERCARD,CREDIT,STANDARD,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
230883,MASTERCARD,CREDIT,STANDARD,"GLOBAL PROCESSING, S.A.",,,AR,ARG,ARGENTINA
230895,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
230929,MASTERCARD,CREDIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
230933,MASTERCARD,DEBIT,PREPAID BUSINESS,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
230937,MASTERCARD,DEBIT,PREPAID,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
230939,MASTERCARD,CREDIT,GOLD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
233029,MASTERCARD,CREDIT,GOLD,CREDENCIAL ARGENTINA SA,,,AR,ARG,ARGENTINA
233030,MASTERCARD,CREDIT,CORPORATE,CREDENCIAL ARGENTINA SA,,,AR,ARG,ARGENTINA
233032,MASTERCARD,CREDIT,STANDARD,BANCO BBVA ARGENTINA S A,,,AR,ARG,ARGENTINA
233049,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
233054,MASTERCARD,DEBIT,PREPAID BUSINESS,PRISMA MEDIOS DE PAGO SA,,,AR,ARG,ARGENTINA
233057,MASTERCARD,CREDIT,CORPORATE,PRISMA MEDIOS DE PAGO SA,,,AR,ARG,ARGENTINA
233058,MASTERCARD,CREDIT,CORPORATE,PRISMA MEDIOS DE PAGO SA,,,AR,ARG,ARGENTINA
233062,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
233064,MASTERCARD,DEBIT,PREPAID BUSINESS,MERCADOLIBRE SRL,,,AR,ARG,ARGENTINA
233065,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
234043,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234044,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234045,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234046,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234047,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234049,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234050,MASTERCARD,DEBIT,PREPAID RELOADABLE,POMELO FINTECH SERVICES SAS,,,AR,ARG,ARGENTINA
234051,MASTERCARD,DEBIT,PREPAID,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250054,MASTERCARD,DEBIT,STANDARD,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250055,MASTERCARD,DEBIT,STANDARD,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250056,MASTERCARD,DEBIT,PLATINUM,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250057,MASTERCARD,DEBIT,WORLD ELITE,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250058,MASTERCARD,DEBIT,STANDARD,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250082,MASTERCARD,CREDIT,PLATINUM,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250083,MASTERCARD,CREDIT,BLACK,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
250084,MASTERCARD,CREDIT,GOLD,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
314119,CABAL,DEBIT,,BANCO CREDICOOP,,,AR,ARG,ARGENTINA
314219,CABAL,DEBIT,,BANCO CREDICOOP,,,AR,ARG,ARGENTINA
340042,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO SANTANDER RIO SA.,,,AR,ARG,ARGENTINA
340043,AMERICAN EXPRESS,CREDIT,PERSONAL,BANCO GALICIA,,,AR,ARG,ARGENTINA
